model,seq_len,hidden_dim,lr,feature_mode,best_val_loss,test_loss,test_mae_avg,test_rmse_avg,test_mae_succ,test_rmse_succ,test_acc,test_macro_f1
LSTM,10,64,0.001,A,0.004662474026330388,0.004180467696333269,0.35282278060913086,0.43269333243370056,0.023208271712064743,0.03020581603050232,0.3018867924528302,0.29776838148931173
LSTM,10,64,0.001,B,0.004258311317803768,0.0045675704659858965,0.3727794289588928,0.4750089943408966,0.022245610132813454,0.029563631862401962,0.4339622641509434,0.4295634920634921
LSTM,10,64,0.001,C,0.005806143073221812,0.005504995935930396,0.35613736510276794,0.45196399092674255,0.053873296827077866,0.060236264020204544,0.2641509433962264,0.25396825396825395
LSTM,10,64,0.0005,A,0.004403554798605351,0.0036522691173232953,0.32231128215789795,0.39724940061569214,0.02002522721886635,0.027553508058190346,0.32075471698113206,0.25146198830409355
LSTM,10,64,0.0005,B,0.004870503890113189,0.004122845354085823,0.32525235414505005,0.4208086133003235,0.024464771151542664,0.03090980462729931,0.39622641509433965,0.32147418354314905
LSTM,10,64,0.0005,C,0.005053078863196648,0.006810507965537737,0.3761950433254242,0.4702918231487274,0.05669061094522476,0.0637948140501976,0.2641509433962264,0.24045695634434927
LSTM,10,128,0.001,A,0.0040487372674621065,0.004242380000299441,0.37417465448379517,0.45667481422424316,0.017766911536455154,0.02652970515191555,0.3018867924528302,0.2874074074074074
LSTM,10,128,0.001,B,0.004473300185054541,0.006837250304601665,0.5062216520309448,0.625093936920166,0.0462779626250267,0.05582571029663086,0.22641509433962265,0.2108385441718775
LSTM,10,128,0.001,C,0.004690529778599739,0.005544594286958564,0.3724564015865326,0.4632847309112549,0.043745242059230804,0.0547359362244606,0.3584905660377358,0.35144552217722946
LSTM,10,128,0.0005,A,0.004233661680840529,0.004626388090469365,0.35854771733283997,0.4605654180049896,0.02578587830066681,0.033940259367227554,0.3584905660377358,0.3197786292039166
LSTM,10,128,0.0005,B,0.004471952023987587,0.00597064175098291,0.43524304032325745,0.5469728112220764,0.026729974895715714,0.03462792932987213,0.32075471698113206,0.28654970760233917
LSTM,10,128,0.0005,C,0.004577497432294946,0.006293436143336431,0.421032577753067,0.5312889218330383,0.03755463659763336,0.04320048168301582,0.2641509433962264,0.23347925786950177
LSTM,14,64,0.001,A,0.003179962194396877,0.004810585568730648,0.39665478467941284,0.48043352365493774,0.031743746250867844,0.035767845809459686,0.25,0.25764775764775766
LSTM,14,64,0.001,B,0.003250624884066044,0.004154498832157025,0.37033984065055847,0.4522571861743927,0.027999181300401688,0.03429526090621948,0.36538461538461536,0.3619260772960962
LSTM,14,64,0.001,C,0.0032333711518303435,0.006644194945693016,0.41253626346588135,0.5135040879249573,0.07590952515602112,0.08155812323093414,0.25,0.24650349650349654
LSTM,14,64,0.0005,A,0.003195439542954167,0.003348161932080984,0.3179470896720886,0.39537033438682556,0.021683664992451668,0.027911007404327393,0.38461538461538464,0.35066476733143404
LSTM,14,64,0.0005,B,0.0033927849521312643,0.0038345901367182913,0.3301164209842682,0.3987944722175598,0.026152225211262703,0.03186614438891411,0.3269230769230769,0.26851851851851855
LSTM,14,64,0.0005,C,0.004355790933557585,0.006134291609319357,0.3572918176651001,0.4539661705493927,0.05457628518342972,0.057848010212183,0.28846153846153844,0.22814814814814813
LSTM,14,128,0.001,A,0.0036107554219151827,0.004392075800121977,0.3741738498210907,0.44463276863098145,0.03577354550361633,0.04529615491628647,0.3076923076923077,0.30359477124183004
LSTM,14,128,0.001,B,0.0031108506909553325,0.005098730182418456,0.4157107174396515,0.5195224285125732,0.02649545669555664,0.035153910517692566,0.28846153846153844,0.2830409356725146
LSTM,14,128,0.001,C,0.003345112955453349,0.006237920516958604,0.4136905074119568,0.5243218541145325,0.0734972357749939,0.08105375617742538,0.23076923076923078,0.21675224000805396
LSTM,14,128,0.0005,A,0.003327887025935685,0.005332043573546868,0.3809347152709961,0.4914352595806122,0.032142117619514465,0.03872425854206085,0.3076923076923077,0.26602836879432623
LSTM,14,128,0.0005,B,0.0034277369313891613,0.005614819614073405,0.44840893149375916,0.5312330722808838,0.022010283544659615,0.028271835297346115,0.17307692307692307,0.17964936181254965
LSTM,14,128,0.0005,C,0.0036485092897041173,0.006069418042898178,0.45652836561203003,0.5431468486785889,0.04601893201470375,0.05082711949944496,0.28846153846153844,0.2480818414322251
